"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-2d-Life.nlogo"
"1D2DLifeDensityWideSweep (wrapping OFF)"
"04/25/2025 14:17:34:557 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","52"
"run","initial-density","wrap","update-1d","step","density"
"3","5","false","false","0","0.04787080649812554"
"5","5","false","false","0","0.04912044602518504"
"4","5","false","false","0","0.049024319907718925"
"2","5","false","false","0","0.04892819379025281"
"6","5","false","false","0","0.048447563202922234"
"1","5","false","false","0","0.04950495049504951"
"2","5","false","false","1","0.008074593867153706"
"6","5","false","false","1","0.009804863981543786"
"4","5","false","false","1","0.006921080457560319"
"3","5","false","false","1","0.008555224454484284"
"5","5","false","false","1","0.006824954340094204"
"6","5","false","false","2","0.007017206575026435"
"1","5","false","false","1","0.00797846774968759"
"3","5","false","false","2","0.004614053638373546"
"5","5","false","false","2","0.004517927520907431"
"6","5","false","false","3","0.005959819282899164"
"4","5","false","false","2","0.004998558108238008"
"1","5","false","false","2","0.004037296933576853"
"2","5","false","false","2","0.005094684225704124"
"6","5","false","false","4","0.005671440930500817"
"5","5","false","false","3","0.004421801403441315"
"4","5","false","false","3","0.004998558108238008"
"6","5","false","false","5","0.005190810343170239"
"4","5","false","false","4","0.005094684225704124"
"2","5","false","false","3","0.0053830625781024705"
"1","5","false","false","3","0.002979909641449582"
"2","5","false","false","4","0.005671440930500817"
"4","5","false","false","5","0.004902431990771893"
"3","5","false","false","3","0.003556666346246275"
"6","5","false","false","6","0.005671440930500817"
"1","5","false","false","4","0.0026915312890512352"
"2","5","false","false","5","0.006152071517831394"
"1","5","false","false","5","0.002499279054119004"
"3","5","false","false","4","0.002979909641449582"
"4","5","false","false","6","0.005094684225704124"
"6","5","false","false","7","0.00624819763529751"
"2","5","false","false","6","0.0064404498702297416"
"3","5","false","false","5","0.002787657406517351"
"5","5","false","false","4","0.004325675285975199"
"6","5","false","false","8","0.007497837162357013"
"4","5","false","false","7","0.005190810343170239"
"2","5","false","false","7","0.00711333269249255"
"6","5","false","false","9","0.007209458809958665"
"5","5","false","false","5","0.004325675285975199"
"3","5","false","false","6","0.0026915312890512352"
"4","5","false","false","8","0.0052869364606363545"
"2","5","false","false","8","0.007497837162357013"
"5","5","false","false","6","0.004325675285975199"
"6","5","false","false","10","0.006728828222628088"
"4","5","false","false","9","0.005671440930500817"
"2","5","false","false","9","0.007882341632221474"
"3","5","false","false","7","0.0031721618763818128"
"4","5","false","false","10","0.0052869364606363545"
"2","5","false","false","10","0.009516485629145439"
"6","5","false","false","11","0.007209458809958665"
"5","5","false","false","7","0.004710179755839662"
"6","5","false","false","12","0.007209458809958665"
"2","5","false","false","11","0.007786215514755359"
"4","5","false","false","11","0.005479188695568586"
"3","5","false","false","8","0.002979909641449582"
"1","5","false","false","6","0.002499279054119004"
"5","5","false","false","8","0.004710179755839662"
"3","5","false","false","9","0.0034605402287801595"
"6","5","false","false","13","0.007401711044890897"
"4","5","false","false","12","0.005671440930500817"
"2","5","false","false","12","0.009516485629145439"
"3","5","false","false","10","0.003556666346246275"
"5","5","false","false","9","0.005479188695568586"
"6","5","false","false","14","0.007786215514755359"
"3","5","false","false","11","0.003941170816110737"
"4","5","false","false","13","0.0052869364606363545"
"1","5","false","false","7","0.002499279054119004"
"6","5","false","false","15","0.007497837162357013"
"5","5","false","false","10","0.004710179755839662"
"2","5","false","false","13","0.008362972219552052"
"3","5","false","false","12","0.003941170816110737"
"5","5","false","false","11","0.004710179755839662"
"4","5","false","false","14","0.005671440930500817"
"6","5","false","false","16","0.00797846774968759"
"2","5","false","false","14","0.009804863981543786"
"1","5","false","false","8","0.002499279054119004"
"3","5","false","false","13","0.003941170816110737"
"5","5","false","false","12","0.004710179755839662"
"4","5","false","false","15","0.005190810343170239"
"6","5","false","false","17","0.00884360280688263"
"1","5","false","false","9","0.002499279054119004"
"4","5","false","false","16","0.0053830625781024705"
"2","5","false","false","15","0.007882341632221474"
"5","5","false","false","13","0.004710179755839662"
"1","5","false","false","10","0.002499279054119004"
"6","5","false","false","18","0.00884360280688263"
"4","5","false","false","17","0.005575314813034702"
"3","5","false","false","14","0.004806305873305777"
"6","5","false","false","19","0.008362972219552052"
"2","5","false","false","16","0.0073055849274247815"
"4","5","false","false","18","0.0063443237527636255"
"1","5","false","false","11","0.002499279054119004"
"6","5","false","false","20","0.00884360280688263"
"2","5","false","false","17","0.007593963279823128"
"3","5","false","false","15","0.004325675285975199"
"4","5","false","false","19","0.005767567047966933"
"5","5","false","false","14","0.004710179755839662"
"6","5","false","false","21","0.009131981159280976"
"4","5","false","false","20","0.00624819763529751"
"1","5","false","false","12","0.002499279054119004"
"3","5","false","false","16","0.004133423051042968"
"6","5","false","false","22","0.008555224454484284"
"2","5","false","false","18","0.007786215514755359"
"5","5","false","false","15","0.004710179755839662"
"1","5","false","false","13","0.002499279054119004"
"4","5","false","false","21","0.005671440930500817"
"6","5","false","false","23","0.008939728924348746"
"3","5","false","false","17","0.004902431990771893"
"2","5","false","false","19","0.008170719984619821"
"1","5","false","false","14","0.002499279054119004"
"4","5","false","false","22","0.005479188695568586"
"5","5","false","false","16","0.004710179755839662"
"6","5","false","false","24","0.008170719984619821"
"3","5","false","false","18","0.004710179755839662"
"4","5","false","false","23","0.0053830625781024705"
"2","5","false","false","20","0.008170719984619821"
"5","5","false","false","17","0.004710179755839662"
"3","5","false","false","19","0.004806305873305777"
"6","5","false","false","25","0.008170719984619821"
"1","5","false","false","15","0.002499279054119004"
"4","5","false","false","24","0.005479188695568586"
"6","5","false","false","26","0.008074593867153706"
"2","5","false","false","21","0.008555224454484284"
"4","5","false","false","25","0.004902431990771893"
"6","5","false","false","27","0.007882341632221474"
"1","5","false","false","16","0.002499279054119004"
"4","5","false","false","26","0.004806305873305777"
"6","5","false","false","28","0.008074593867153706"
"1","5","false","false","17","0.002499279054119004"
"4","5","false","false","27","0.004614053638373546"
"6","5","false","false","29","0.007593963279823128"
"4","5","false","false","28","0.004614053638373546"
"1","5","false","false","18","0.002499279054119004"
"6","5","false","false","30","0.007786215514755359"
"5","5","false","false","18","0.004710179755839662"
"3","5","false","false","20","0.004998558108238008"
"2","5","false","false","22","0.007882341632221474"
"4","5","false","false","29","0.004614053638373546"
"6","5","false","false","31","0.007882341632221474"
"1","5","false","false","19","0.002499279054119004"
"2","5","false","false","23","0.007882341632221474"
"4","5","false","false","30","0.004614053638373546"
"3","5","false","false","21","0.005479188695568586"
"5","5","false","false","19","0.004710179755839662"
"1","5","false","false","20","0.002499279054119004"
"6","5","false","false","32","0.008939728924348746"
"3","5","false","false","22","0.005094684225704124"
"4","5","false","false","31","0.004614053638373546"
"2","5","false","false","24","0.008459098337018169"
"5","5","false","false","20","0.004710179755839662"
"1","5","false","false","21","0.002499279054119004"
"6","5","false","false","33","0.008170719984619821"
"3","5","false","false","23","0.004325675285975199"
"4","5","false","false","32","0.004614053638373546"
"5","5","false","false","21","0.004710179755839662"
"1","5","false","false","22","0.002499279054119004"
"4","5","false","false","33","0.004614053638373546"
"2","5","false","false","25","0.009516485629145439"
"6","5","false","false","34","0.008651350571950399"
