"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-Life.nlogo"
"1DLifeDensityWideSweep (wrapping ON)"
"04/25/2025 13:08:49:746 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","10200","0","0"
"[run number]","initial-density","wrap?","lambda","[step]","count patches with [living?] / count patches"
"1","5","true","50","0","0.04646603274188805"
"1","5","true","50","1","0.0050975394569159884"
"1","5","true","50","2","0.002254680913635918"
"1","5","true","50","3","0.002156651308695226"
"1","5","true","50","4","0.002254680913635918"
"1","5","true","50","5","0.002156651308695226"
"1","5","true","50","6","0.002254680913635918"
"1","5","true","50","7","0.0025487697284579942"
"1","5","true","50","8","0.002450740123517302"
"1","5","true","50","9","0.0031369473581021466"
"1","5","true","50","10","0.002450740123517302"
"1","5","true","50","11","0.002450740123517302"
"1","5","true","50","12","0.00235271051857661"
"1","5","true","50","13","0.0026467993333986863"
"1","5","true","50","14","0.0029408881482207625"
"1","5","true","50","15","0.003234976963042839"
"1","5","true","50","16","0.003234976963042839"
"1","5","true","50","17","0.0036270953828056074"
"1","5","true","50","18","0.0038231545926869915"
"1","5","true","50","19","0.004803450642093913"
"1","5","true","50","20","0.0038231545926869915"
"1","5","true","50","21","0.004509361827271836"
"1","5","true","50","22","0.004019213802568375"
"1","5","true","50","23","0.004999509851975297"
"1","5","true","50","24","0.004313302617390452"
"1","5","true","50","25","0.005881776296441525"
"1","5","true","50","26","0.005195569061856681"
"1","5","true","50","27","0.005783746691500833"
"1","5","true","50","28","0.004313302617390452"
"1","5","true","50","29","0.004411332222331144"
"1","5","true","50","30","0.00421527301244976"
"1","5","true","50","31","0.004019213802568375"
"1","5","true","50","32","0.004509361827271836"
"1","5","true","50","33","0.004509361827271836"
"1","5","true","50","34","0.005195569061856681"
"1","5","true","50","35","0.00470542103715322"
"1","5","true","50","36","0.00421527301244976"
"1","5","true","50","37","0.00470542103715322"
"1","5","true","50","38","0.004411332222331144"
"1","5","true","50","39","0.00470542103715322"
"1","5","true","50","40","0.004901480247034604"
"1","5","true","50","41","0.0046073914322125285"
"1","5","true","50","42","0.004411332222331144"
"1","5","true","50","43","0.00421527301244976"
"1","5","true","50","44","0.00470542103715322"
"1","5","true","50","45","0.004411332222331144"
"1","5","true","50","46","0.005489657876678757"
"1","5","true","50","47","0.004999509851975297"
"1","5","true","50","48","0.004901480247034604"
"1","5","true","50","49","0.005783746691500833"
"1","5","true","50","50","0.006077835506322909"
"1","5","true","50","51","0.007646309185373983"
"1","5","true","50","52","0.005783746691500833"
"1","5","true","50","53","0.007254190765611215"
"1","5","true","50","54","0.006273894716204293"
"1","5","true","50","55","0.00794039800019606"
"1","5","true","50","56","0.007058131555729831"
"1","5","true","50","57","0.007842368395255367"
"1","5","true","50","58","0.00803842760513675"
"1","5","true","50","59","0.00843054602489952"
"1","5","true","50","60","0.00843054602489952"
"1","5","true","50","61","0.009116753259484365"
"1","5","true","50","62","0.008724634839721596"
"1","5","true","50","63","0.009214782864425057"
"1","5","true","50","64","0.00794039800019606"
"1","5","true","50","65","0.008136457210077443"
"1","5","true","50","66","0.008528575629840211"
"1","5","true","50","67","0.007744338790314675"
"1","5","true","50","68","0.0068620723458484465"
"1","5","true","50","69","0.0073522203705519065"
