"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Life.nlogo"
"2DLifeDensityWideSweep (wrapping OFF)"
"04/25/2025 14:21:55:061 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","initial-density","wrap?","[step]","count patches with [living?] / count patches"
"3","5","false","0","0.0533281050877365"
"4","5","false","0","0.050387216939515735"
"6","5","false","0","0.04597588471718459"
"1","5","false","0","0.04901480247034604"
"5","5","false","0","0.04823056563082051"
"2","5","false","0","0.04979903930987158"
"2","5","false","1","0.0073522203705519065"
"5","5","false","1","0.007058131555729831"
"6","5","false","1","0.006469953926085678"
"4","5","false","1","0.009704930889128516"
"3","5","false","1","0.008332516419958828"
"1","5","false","1","0.008724634839721596"
"3","5","false","2","0.004313302617390452"
"5","5","false","2","0.004509361827271836"
"1","5","false","2","0.005881776296441525"
"4","5","false","2","0.005293598666797373"
"2","5","false","2","0.004313302617390452"
"5","5","false","3","0.0035290657778649153"
"3","5","false","3","0.00421527301244976"
"4","5","false","3","0.004411332222331144"
"1","5","false","3","0.005195569061856681"
"6","5","false","2","0.004019213802568375"
"1","5","false","4","0.004901480247034604"
"6","5","false","3","0.0027448289383393784"
"5","5","false","4","0.0031369473581021466"
"3","5","false","4","0.00421527301244976"
"2","5","false","3","0.003921184197627684"
"1","5","false","5","0.004509361827271836"
"6","5","false","4","0.0026467993333986863"
"4","5","false","4","0.004509361827271836"
"5","5","false","5","0.00235271051857661"
"3","5","false","5","0.0038231545926869915"
"6","5","false","5","0.0025487697284579942"
"1","5","false","6","0.004411332222331144"
"4","5","false","5","0.004803450642093913"
"3","5","false","6","0.0038231545926869915"
"4","5","false","6","0.0046073914322125285"
"2","5","false","4","0.003921184197627684"
"1","5","false","7","0.00421527301244976"
"6","5","false","6","0.00235271051857661"
"5","5","false","6","0.00235271051857661"
"2","5","false","5","0.003921184197627684"
"1","5","false","8","0.00421527301244976"
"4","5","false","7","0.004019213802568375"
"3","5","false","7","0.0038231545926869915"
"6","5","false","7","0.002254680913635918"
"1","5","false","9","0.00421527301244976"
"3","5","false","8","0.0037251249877462995"
"5","5","false","7","0.00235271051857661"
"2","5","false","6","0.004509361827271836"
"3","5","false","9","0.003921184197627684"
"1","5","false","10","0.00421527301244976"
"6","5","false","8","0.002058621703754534"
"5","5","false","8","0.00235271051857661"
"4","5","false","8","0.004019213802568375"
"3","5","false","10","0.003921184197627684"
"1","5","false","11","0.00421527301244976"
"6","5","false","9","0.002058621703754534"
"2","5","false","7","0.004901480247034604"
"1","5","false","12","0.00421527301244976"
"5","5","false","9","0.00235271051857661"
"3","5","false","11","0.00470542103715322"
"4","5","false","9","0.0035290657778649153"
"6","5","false","10","0.002058621703754534"
"1","5","false","13","0.00421527301244976"
"5","5","false","10","0.00235271051857661"
"6","5","false","11","0.002058621703754534"
"4","5","false","10","0.0035290657778649153"
"4","5","false","11","0.00235271051857661"
"1","5","false","14","0.00421527301244976"
"6","5","false","12","0.002058621703754534"
"5","5","false","11","0.00235271051857661"
"2","5","false","8","0.006077835506322909"
"1","5","false","15","0.00421527301244976"
"5","5","false","12","0.00235271051857661"
"4","5","false","12","0.002156651308695226"
"6","5","false","13","0.002058621703754534"
"5","5","false","13","0.00235271051857661"
"4","5","false","13","0.0017645328889324577"
"2","5","false","9","0.006077835506322909"
"6","5","false","14","0.002058621703754534"
"1","5","false","16","0.00421527301244976"
"5","5","false","14","0.00235271051857661"
"2","5","false","10","0.006077835506322909"
"4","5","false","14","0.0017645328889324577"
"6","5","false","15","0.002058621703754534"
"1","5","false","17","0.00421527301244976"
"5","5","false","15","0.00235271051857661"
"2","5","false","11","0.005293598666797373"
"5","5","false","16","0.00235271051857661"
"1","5","false","18","0.00421527301244976"
"4","5","false","15","0.0017645328889324577"
"6","5","false","16","0.002058621703754534"
"3","5","false","12","0.003921184197627684"
"5","5","false","17","0.00235271051857661"
"1","5","false","19","0.00421527301244976"
"4","5","false","16","0.0017645328889324577"
"2","5","false","12","0.005293598666797373"
"3","5","false","13","0.003921184197627684"
"5","5","false","18","0.00235271051857661"
"1","5","false","20","0.00421527301244976"
"4","5","false","17","0.0017645328889324577"
"5","5","false","19","0.00235271051857661"
"3","5","false","14","0.003921184197627684"
"1","5","false","21","0.00421527301244976"
"6","5","false","17","0.002058621703754534"
"2","5","false","13","0.005293598666797373"
"5","5","false","20","0.00235271051857661"
"3","5","false","15","0.003921184197627684"
"1","5","false","22","0.00421527301244976"
"6","5","false","18","0.002058621703754534"
"2","5","false","14","0.005293598666797373"
"4","5","false","18","0.0017645328889324577"
"3","5","false","16","0.003921184197627684"
"6","5","false","19","0.002058621703754534"
"1","5","false","23","0.00421527301244976"
"6","5","false","20","0.002058621703754534"
"5","5","false","21","0.00235271051857661"
"4","5","false","19","0.0017645328889324577"
"3","5","false","17","0.003921184197627684"
"2","5","false","15","0.005293598666797373"
"3","5","false","18","0.003921184197627684"
"5","5","false","22","0.00235271051857661"
"1","5","false","24","0.00421527301244976"
"2","5","false","16","0.005293598666797373"
"4","5","false","20","0.0017645328889324577"
"3","5","false","19","0.003921184197627684"
"5","5","false","23","0.00235271051857661"
"6","5","false","21","0.002058621703754534"
"4","5","false","21","0.0017645328889324577"
"1","5","false","25","0.00421527301244976"
"1","5","false","26","0.00421527301244976"
"5","5","false","24","0.00235271051857661"
"2","5","false","17","0.005293598666797373"
"3","5","false","20","0.003921184197627684"
"4","5","false","22","0.0017645328889324577"
"6","5","false","22","0.002058621703754534"
"1","5","false","27","0.00421527301244976"
"2","5","false","18","0.005293598666797373"
"6","5","false","23","0.002058621703754534"
"4","5","false","23","0.0017645328889324577"
"3","5","false","21","0.003921184197627684"
"1","5","false","28","0.00421527301244976"
"5","5","false","25","0.00235271051857661"
"6","5","false","24","0.002058621703754534"
"4","5","false","24","0.0017645328889324577"
"3","5","false","22","0.003921184197627684"
"2","5","false","19","0.005293598666797373"
"1","5","false","29","0.00421527301244976"
"6","5","false","25","0.002058621703754534"
"5","5","false","26","0.00235271051857661"
"4","5","false","25","0.0017645328889324577"
"6","5","false","26","0.002058621703754534"
"3","5","false","23","0.003921184197627684"
"2","5","false","20","0.005293598666797373"
"1","5","false","30","0.00421527301244976"
"4","5","false","26","0.0017645328889324577"
